firms,counts
annual_results/China/Tencent/2016/semantic.json,2
annual_results/China/PetroChina/2019/semantic.json,1
annual_results/China/PetroChina/2020/semantic.json,3
annual_results/China/Meituan/2022/semantic.json,1
annual_results/China/Meituan/2023/semantic.json,1
annual_results/China/Meituan/2019/semantic.json,2
annual_results/China/Meituan/2021/semantic.json,3
annual_results/China/Meituan/2020/semantic.json,2
annual_results/China/Meituan/2018/semantic.json,3
annual_results/China/China Yangtze Power/2018/semantic.json,0
