,Company,Year,Country,Revenue,Sector,Goals
29,Walmart,2019,USA,616.05,Consumer Staples,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 2, '9': 2, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
30,Walmart,2021,USA,616.05,Consumer Staples,"{'0': 2, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
31,Johnson&Johnson,2022,USA,395.7,Health Care,"{'0': 3, '1': 0, '2': 0, '3': 2, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
32,Johnson&Johnson,2023,USA,395.7,Health Care,"{'0': 1, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
33,Johnson&Johnson,2015,USA,395.7,Health Care,"{'0': 0, '1': 0, '2': 0, '3': 2, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
34,Johnson&Johnson,2019,USA,395.7,Health Care,"{'0': 1, '1': 0, '2': 0, '3': 2, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
35,Johnson&Johnson,2021,USA,395.7,Health Care,"{'0': 2, '1': 0, '2': 0, '3': 5, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
36,Johnson&Johnson,2020,USA,395.7,Health Care,"{'0': 1, '1': 0, '2': 0, '3': 2, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
37,Johnson&Johnson,2018,USA,395.7,Health Care,"{'0': 0, '1': 0, '2': 0, '3': 9, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
38,Procter&Gamble,2022,USA,412.58,Consumer Staples,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
39,Procter&Gamble,2023,USA,412.58,Consumer Staples,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
40,Procter&Gamble,2019,USA,412.58,Consumer Staples,"{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
41,Procter&Gamble,2020,USA,412.58,Consumer Staples,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 2, '10': 0, '11': 0, '12': 2, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
42,Procter&Gamble,2018,USA,412.58,Consumer Staples,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 2, '10': 0, '11': 0, '12': 3, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
43,United Health,2022,USA,551.16,Health Care,"{'0': 2, '1': 0, '2': 0, '3': 3, '4': 1, '5': 0, '6': 0, '7': 0, '8': 1, '9': 2, '10': 3, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 3, '17': 0}"
44,United Health,2023,USA,551.16,Health Care,"{'0': 2, '1': 0, '2': 0, '3': 6, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 3, '10': 0, '11': 0, '12': 1, '13': 1, '14': 0, '15': 0, '16': 10, '17': 0}"
45,Morgan&Chase,2022,USA,604.48,Financial Service,"{'0': 2, '1': 0, '2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 1, '8': 9, '9': 8, '10': 0, '11': 0, '12': 0, '13': 1, '14': 0, '15': 0, '16': 2, '17': 0}"
46,Morgan&Chase,2023,USA,604.48,Financial Service,"{'0': 7, '1': 1, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 13, '9': 11, '10': 0, '11': 0, '12': 0, '13': 1, '14': 0, '15': 0, '16': 5, '17': 0}"
47,Morgan&Chase,2015,USA,604.48,Financial Service,"{'0': 1, '1': 0, '2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 2, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
48,Morgan&Chase,2017,USA,604.48,Financial Service,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 3, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
49,Morgan&Chase,2019,USA,604.48,Financial Service,"{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
50,Morgan&Chase,2021,USA,604.48,Financial Service,"{'0': 2, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 3, '9': 3, '10': 0, '11': 0, '12': 0, '13': 1, '14': 0, '15': 0, '16': 2, '17': 0}"
51,Morgan&Chase,2020,USA,604.48,Financial Service,"{'0': 0, '1': 0, '2': 0, '3': 1, '4': 1, '5': 0, '6': 0, '7': 0, '8': 8, '9': 9, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 1}"
52,Morgan&Chase,2018,USA,604.48,Financial Service,"{'0': 3, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 8, '9': 7, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 2, '17': 0}"
53,Morgan&Chase,2016,USA,604.48,Financial Service,"{'0': 1, '1': 0, '2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 8, '9': 7, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
