,Company,Year,Country,Revenue,Sector
149,Costco,2023,USA,388.66,Consumer Staples
150,Costco,2015,USA,388.66,Consumer Staples
151,Costco,2017,USA,388.66,Consumer Staples
152,Costco,2019,USA,388.66,Consumer Staples
153,Costco,2021,USA,388.66,Consumer Staples
154,Costco,2020,USA,388.66,Consumer Staples
155,Costco,2018,USA,388.66,Consumer Staples
156,Costco,2016,USA,388.66,Consumer Staples
157,Visa,2014,USA,543.62,Financials
158,Visa,2022,USA,543.62,Financials
159,Visa,2023,USA,543.62,Financials
160,Visa,2015,USA,543.62,Financials
161,Visa,2017,USA,543.62,Financials
162,Visa,2019,USA,543.62,Financials
163,Visa,2021,USA,543.62,Financials
164,Visa,2020,USA,543.62,Financials
165,Visa,2018,USA,543.62,Financials
166,Visa,2016,USA,543.62,Financials
167,Broadcom,2014,USA,669.46,Information Technology
168,Broadcom,2022,USA,669.46,Information Technology
169,Broadcom,2023,USA,669.46,Information Technology
170,Broadcom,2015,USA,669.46,Information Technology
171,Broadcom,2017,USA,669.46,Information Technology
172,Broadcom,2019,USA,669.46,Information Technology
173,Broadcom,2021,USA,669.46,Information Technology
174,Broadcom,2020,USA,669.46,Information Technology
175,Broadcom,2018,USA,669.46,Information Technology
176,Broadcom,2016,USA,669.46,Information Technology
177,Alphabet(Google),2014,USA,2062.0,Information Technology
178,Alphabet(Google),2022,USA,2062.0,Information Technology
179,Alphabet(Google),2023,USA,2062.0,Information Technology
180,Alphabet(Google),2015,USA,2062.0,Information Technology
181,Alphabet(Google),2017,USA,2062.0,Information Technology
182,Alphabet(Google),2019,USA,2062.0,Information Technology
183,Alphabet(Google),2021,USA,2062.0,Information Technology
184,Alphabet(Google),2020,USA,2062.0,Information Technology
185,Alphabet(Google),2018,USA,2062.0,Information Technology
186,Alphabet(Google),2016,USA,2062.0,Information Technology
187,Tesla,2014,USA,663.43,Industries
188,Tesla,2022,USA,663.43,Industries
189,Tesla,2023,USA,663.43,Industries
190,Tesla,2015,USA,663.43,Industries
191,Tesla,2017,USA,663.43,Industries
192,Tesla,2019,USA,663.43,Industries
193,Tesla,2021,USA,663.43,Industries
194,Tesla,2020,USA,663.43,Industries
195,Tesla,2018,USA,663.43,Industries
196,Tesla,2016,USA,663.43,Industries
197,Adidas,2014,Germany,244.57,Consumer Discretionary
198,Adidas,2022,Germany,244.57,Consumer Discretionary
199,Adidas,2023,Germany,244.57,Consumer Discretionary
200,Adidas,2015,Germany,244.57,Consumer Discretionary
201,Adidas,2017,Germany,244.57,Consumer Discretionary
202,Adidas,2019,Germany,244.57,Consumer Discretionary
203,Adidas,2021,Germany,244.57,Consumer Discretionary
204,Adidas,2020,Germany,244.57,Consumer Discretionary
205,Adidas,2018,Germany,244.57,Consumer Discretionary
206,Adidas,2016,Germany,244.57,Consumer Discretionary
207,Siemens Healthineers,2014,Germany,58.91,Health Care
208,Siemens Healthineers,2022,Germany,58.91,Health Care
209,Siemens Healthineers,2023,Germany,58.91,Health Care
210,Siemens Healthineers,2017,Germany,58.91,Health Care
211,Siemens Healthineers,2019,Germany,58.91,Health Care
212,Siemens Healthineers,2021,Germany,58.91,Health Care
213,Siemens Healthineers,2020,Germany,58.91,Health Care
214,Siemens Healthineers,2018,Germany,58.91,Health Care
215,BMW,2014,Germany,55.03,Industries
216,BMW,2022,Germany,55.03,Industries
217,BMW,2023,Germany,55.03,Industries
218,BMW,2015,Germany,55.03,Industries
219,BMW,2017,Germany,55.03,Industries
220,BMW,2019,Germany,55.03,Industries
221,BMW,2021,Germany,55.03,Industries
222,BMW,2020,Germany,55.03,Industries
223,BMW,2018,Germany,55.03,Industries
224,BMW,2016,Germany,55.03,Industries
225,BASF,2014,Germany,42.93,Industries
226,BASF,2022,Germany,42.93,Industries
227,BASF,2023,Germany,42.93,Industries
228,BASF,2015,Germany,42.93,Industries
229,BASF,2017,Germany,42.93,Industries
230,BASF,2019,Germany,42.93,Industries
231,BASF,2021,Germany,42.93,Industries
232,BASF,2020,Germany,42.93,Industries
233,BASF,2018,Germany,42.93,Industries
234,BASF,2016,Germany,42.93,Industries
235,Infineon,2014,Germany,41.66,Industries
236,Infineon,2022,Germany,41.66,Industries
237,Infineon,2023,Germany,41.66,Industries
238,Infineon,2015,Germany,41.66,Industries
239,Infineon,2017,Germany,41.66,Industries
240,Infineon,2019,Germany,41.66,Industries
241,Infineon,2021,Germany,41.66,Industries
242,Infineon,2020,Germany,41.66,Industries
243,Infineon,2018,Germany,41.66,Industries
244,Infineon,2016,Germany,41.66,Industries
245,DHL Group,2014,Germany,49.82,Industries
246,DHL Group,2022,Germany,49.82,Industries
247,DHL Group,2023,Germany,49.82,Industries
248,DHL Group,2015,Germany,49.82,Industries
249,DHL Group,2017,Germany,49.82,Industries
250,DHL Group,2019,Germany,49.82,Industries
251,DHL Group,2021,Germany,49.82,Industries
252,DHL Group,2020,Germany,49.82,Industries
253,DHL Group,2018,Germany,49.82,Industries
254,DHL Group,2016,Germany,49.82,Industries
255,Mercedes-Benz,2014,Germany,68.14,Consumer Discretionary
256,Mercedes-Benz,2022,Germany,68.14,Consumer Discretionary
257,Mercedes-Benz,2023,Germany,68.14,Consumer Discretionary
258,Mercedes-Benz,2015,Germany,68.14,Consumer Discretionary
259,Mercedes-Benz,2017,Germany,68.14,Consumer Discretionary
260,Mercedes-Benz,2019,Germany,68.14,Consumer Discretionary
261,Mercedes-Benz,2021,Germany,68.14,Consumer Discretionary
