,Firm,Year,Country,Sector,Revenue,Total Passages,Passages after Filter 1,Passages after Filter 2,Passages after Classification into SDGs,Result
28,Microsoft,2022,USA,Information Technology,3036.0,724,28,27,26,"{'0': 0, '1': 0, '2': 0, '3': 4, '4': 2, '5': 0, '6': 0, '7': 0, '8': 9, '9': 19, '10': 1, '11': 1, '12': 2, '13': 3, '14': 0, '15': 1, '16': 5, '17': 3}"
29,Microsoft,2023,USA,Information Technology,3036.0,722,79,61,57,"{'0': 0, '1': 0, '2': 2, '3': 7, '4': 9, '5': 0, '6': 0, '7': 2, '8': 22, '9': 42, '10': 1, '11': 0, '12': 0, '13': 1, '14': 0, '15': 0, '16': 12, '17': 2}"
30,Microsoft,2015,USA,Information Technology,3036.0,736,3,2,2,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 2, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
31,Microsoft,2017,USA,Information Technology,3036.0,747,21,19,17,"{'0': 0, '1': 0, '2': 0, '3': 1, '4': 2, '5': 0, '6': 0, '7': 1, '8': 5, '9': 16, '10': 0, '11': 0, '12': 1, '13': 2, '14': 0, '15': 0, '16': 1, '17': 0}"
32,Microsoft,2019,USA,Information Technology,3036.0,1209,22,19,16,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 8, '9': 14, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 1}"
33,Microsoft,2021,USA,Information Technology,3036.0,716,25,22,21,"{'0': 0, '1': 0, '2': 0, '3': 3, '4': 2, '5': 0, '6': 0, '7': 0, '8': 7, '9': 18, '10': 0, '11': 0, '12': 1, '13': 1, '14': 0, '15': 0, '16': 4, '17': 2}"
34,Microsoft,2020,USA,Information Technology,3036.0,709,30,25,21,"{'0': 0, '1': 0, '2': 0, '3': 2, '4': 1, '5': 0, '6': 0, '7': 1, '8': 7, '9': 16, '10': 1, '11': 1, '12': 2, '13': 1, '14': 0, '15': 0, '16': 2, '17': 1}"
35,Microsoft,2018,USA,Information Technology,3036.0,729,27,21,19,"{'0': 2, '1': 0, '2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 10, '9': 17, '10': 1, '11': 0, '12': 1, '13': 1, '14': 0, '15': 0, '16': 1, '17': 3}"
36,Microsoft,2016,USA,Information Technology,3036.0,802,6,5,5,"{'0': 0, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 2, '9': 5, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
37,Oracle,2022,USA,Information Technology,390.8,1533,14,14,14,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 7, '9': 9, '10': 0, '11': 0, '12': 1, '13': 0, '14': 0, '15': 0, '16': 5, '17': 0}"
38,Oracle,2023,USA,Information Technology,390.8,1537,19,17,17,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 13, '9': 13, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 7, '17': 0}"
39,Oracle,2017,USA,Information Technology,390.8,1281,5,5,5,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 2, '9': 5, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 1}"
40,Oracle,2019,USA,Information Technology,390.8,1516,11,11,11,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 6, '9': 8, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 5, '17': 0}"
41,Oracle,2021,USA,Information Technology,390.8,1536,15,15,14,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 8, '9': 8, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 7, '17': 0}"
42,Oracle,2020,USA,Information Technology,390.8,1522,11,11,11,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 6, '9': 8, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 4, '17': 0}"
43,Oracle,2018,USA,Information Technology,390.8,1559,4,2,2,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
44,Broadcom,2022,USA,Information Technology,669.46,1056,5,5,5,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 4, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 4, '17': 0}"
45,Broadcom,2023,USA,Information Technology,669.46,968,5,4,3,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 3, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 3, '17': 0}"
46,Broadcom,2021,USA,Information Technology,669.46,1035,4,3,3,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 3, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 3, '17': 0}"
47,Broadcom,2020,USA,Information Technology,669.46,1364,4,2,2,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 2, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
48,Tesla,2022,USA,Industries,663.43,2133,5,5,5,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 3, '8': 0, '9': 5, '10': 0, '11': 3, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
49,Tesla,2023,USA,Industries,663.43,1044,9,9,8,"{'0': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 3, '8': 1, '9': 7, '10': 0, '11': 2, '12': 1, '13': 1, '14': 0, '15': 0, '16': 0, '17': 0}"
50,Tesla,2017,USA,Industries,663.43,2116,1,1,1,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 1, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
51,Tesla,2019,USA,Industries,663.43,1969,1,1,1,"{'0': 0, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
52,Tesla,2021,USA,Industries,663.43,1068,2,2,2,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 2, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
53,Visa,2014,USA,Financials,543.62,1123,2,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
54,Visa,2023,USA,Financials,543.62,1045,11,9,7,"{'0': 0, '1': 0, '2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 3, '9': 4, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 4, '17': 0}"
55,Visa,2017,USA,Financials,543.62,1216,4,4,4,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 2, '9': 3, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 2, '17': 0}"
56,Visa,2019,USA,Financials,543.62,1108,6,6,6,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 2, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 6, '17': 0}"
57,Visa,2020,USA,Financials,543.62,1154,4,4,4,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 3, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 4, '17': 0}"
58,Visa,2018,USA,Financials,543.62,1123,1,1,1,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 0}"
59,Walmart,2019,USA,Consumer Staples,616.05,920,1,1,1,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 1, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
60,Walmart,2021,USA,Consumer Staples,616.05,887,33,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
61,Berkshire Hathaway,2023,USA,Financials,922.79,1461,1,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
62,United Health,2022,USA,Health Care,551.16,796,8,5,5,"{'0': 0, '1': 0, '2': 0, '3': 3, '4': 1, '5': 0, '6': 0, '7': 0, '8': 1, '9': 2, '10': 3, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 2, '17': 0}"
63,United Health,2023,USA,Health Care,551.16,725,17,12,10,"{'0': 0, '1': 0, '2': 0, '3': 5, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 0, '12': 1, '13': 0, '14': 0, '15': 0, '16': 6, '17': 0}"
64,NVIDIA,2014,USA,Information Technology,2638.0,1360,13,12,10,"{'0': 0, '1': 0, '2': 0, '3': 3, '4': 1, '5': 0, '6': 0, '7': 1, '8': 1, '9': 10, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0}"
65,NVIDIA,2022,USA,Information Technology,2638.0,1537,119,87,72,"{'0': 0, '1': 0, '2': 0, '3': 6, '4': 4, '5': 0, '6': 0, '7': 2, '8': 10, '9': 64, '10': 0, '11': 11, '12': 4, '13': 3, '14': 0, '15': 0, '16': 5, '17': 6}"
66,NVIDIA,2023,USA,Information Technology,2638.0,1616,188,144,122,"{'0': 0, '1': 0, '2': 0, '3': 17, '4': 4, '5': 0, '6': 0, '7': 3, '8': 25, '9': 110, '10': 0, '11': 14, '12': 0, '13': 8, '14': 0, '15': 0, '16': 2, '17': 6}"
67,NVIDIA,2015,USA,Information Technology,2638.0,2032,30,29,25,"{'0': 0, '1': 0, '2': 0, '3': 4, '4': 2, '5': 0, '6': 0, '7': 1, '8': 3, '9': 22, '10': 0, '11': 8, '12': 0, '13': 1, '14': 0, '15': 0, '16': 0, '17': 0}"
68,NVIDIA,2017,USA,Information Technology,2638.0,1760,62,58,50,"{'0': 0, '1': 0, '2': 1, '3': 5, '4': 5, '5': 0, '6': 0, '7': 1, '8': 3, '9': 47, '10': 0, '11': 13, '12': 0, '13': 0, '14': 0, '15': 0, '16': 2, '17': 2}"
69,NVIDIA,2019,USA,Information Technology,2638.0,1777,84,67,61,"{'0': 0, '1': 0, '2': 1, '3': 9, '4': 3, '5': 0, '6': 0, '7': 3, '8': 4, '9': 60, '10': 0, '11': 14, '12': 3, '13': 0, '14': 0, '15': 0, '16': 0, '17': 4}"
70,NVIDIA,2021,USA,Information Technology,2638.0,1789,91,72,63,"{'0': 0, '1': 0, '2': 0, '3': 3, '4': 5, '5': 0, '6': 0, '7': 3, '8': 12, '9': 54, '10': 0, '11': 14, '12': 1, '13': 8, '14': 0, '15': 0, '16': 1, '17': 3}"
71,NVIDIA,2020,USA,Information Technology,2638.0,1404,92,79,70,"{'0': 0, '1': 0, '2': 2, '3': 12, '4': 5, '5': 0, '6': 0, '7': 0, '8': 8, '9': 66, '10': 0, '11': 16, '12': 4, '13': 0, '14': 0, '15': 0, '16': 1, '17': 4}"
72,NVIDIA,2018,USA,Information Technology,2638.0,1330,75,62,57,"{'0': 0, '1': 0, '2': 2, '3': 7, '4': 1, '5': 0, '6': 0, '7': 0, '8': 6, '9': 57, '10': 0, '11': 13, '12': 1, '13': 0, '14': 0, '15': 0, '16': 1, '17': 3}"
73,NVIDIA,2016,USA,Information Technology,2638.0,1382,55,48,40,"{'0': 0, '1': 0, '2': 0, '3': 9, '4': 1, '5': 0, '6': 0, '7': 1, '8': 6, '9': 38, '10': 1, '11': 11, '12': 0, '13': 0, '14': 1, '15': 0, '16': 0, '17': 2}"
